band,mean,median,trimmed_mean_10,winsorized_mean_10,geometric_mean,harmonic_mean,p25,p75,max,min
0.000000000000000000e+00,2.264991528295493026e+02,2.270000000000000000e+02,2.265184243964421853e+02,2.265147407658420775e+02,2.264549168224389746e+02,2.264106209011999056e+02,2.240000000000000000e+02,2.290000000000000000e+02,2.390000000000000000e+02,2.110000000000000000e+02
1.000000000000000000e+00,2.278010843781768813e+02,2.280000000000000000e+02,2.277746717492588004e+02,2.278197221280921667e+02,2.277678030301206036e+02,2.277345277575159344e+02,2.250000000000000000e+02,2.310000000000000000e+02,2.390000000000000000e+02,2.160000000000000000e+02
2.000000000000000000e+00,2.285774313791934844e+02,2.280000000000000000e+02,2.285751800084709942e+02,2.285601491019993148e+02,2.285396391044528173e+02,2.285018451756448314e+02,2.260000000000000000e+02,2.310000000000000000e+02,2.420000000000000000e+02,2.170000000000000000e+02
3.000000000000000000e+00,2.303090477804134082e+02,2.300000000000000000e+02,2.302892842016094903e+02,2.303314130803117621e+02,2.302597389104452077e+02,2.302104239225357389e+02,2.270000000000000000e+02,2.340000000000000000e+02,2.440000000000000000e+02,2.150000000000000000e+02
4.000000000000000000e+00,2.335228736021687439e+02,2.330000000000000000e+02,2.334519271495129260e+02,2.335615045747204306e+02,2.334459521896233412e+02,2.333691244748266627e+02,2.290000000000000000e+02,2.380000000000000000e+02,2.490000000000000000e+02,2.180000000000000000e+02
5.000000000000000000e+00,2.381274144357844875e+02,2.380000000000000000e+02,2.380703091910207547e+02,2.380562521179261353e+02,2.379869052777592913e+02,2.378464765949815671e+02,2.320000000000000000e+02,2.445000000000000000e+02,2.580000000000000000e+02,2.180000000000000000e+02
6.000000000000000000e+00,2.445513385293120905e+02,2.430000000000000000e+02,2.442058449809402703e+02,2.443646221619789856e+02,2.442635613223778535e+02,2.439775684408492964e+02,2.350000000000000000e+02,2.540000000000000000e+02,2.760000000000000000e+02,2.180000000000000000e+02
7.000000000000000000e+00,2.558722466960352335e+02,2.540000000000000000e+02,2.553460398136382992e+02,2.556767197560149043e+02,2.552710023215037722e+02,2.546748511573976259e+02,2.410000000000000000e+02,2.710000000000000000e+02,2.950000000000000000e+02,2.250000000000000000e+02
8.000000000000000000e+00,2.713368349711961969e+02,2.690000000000000000e+02,2.704705633206268658e+02,2.709762792273805303e+02,2.701172339435415211e+02,2.689122225180614123e+02,2.480000000000000000e+02,2.940000000000000000e+02,3.250000000000000000e+02,2.270000000000000000e+02
9.000000000000000000e+00,2.893964757709251217e+02,2.860000000000000000e+02,2.880444726810673615e+02,2.888353100643849416e+02,2.871274350368557862e+02,2.848932692699725635e+02,2.560000000000000000e+02,3.220000000000000000e+02,3.650000000000000000e+02,2.320000000000000000e+02
1.000000000000000000e+01,3.204418841070823305e+02,3.160000000000000000e+02,3.183413807708598142e+02,3.195726872246696075e+02,3.160868300401234592e+02,3.118216113717559210e+02,2.710000000000000000e+02,3.680000000000000000e+02,4.310000000000000000e+02,2.400000000000000000e+02
1.100000000000000000e+01,3.577153507285665910e+02,3.520000000000000000e+02,3.549898348157560122e+02,3.563913927482209374e+02,3.503390546987077414e+02,3.431304324617354382e+02,2.890000000000000000e+02,4.235000000000000000e+02,5.110000000000000000e+02,2.500000000000000000e+02
1.200000000000000000e+01,4.082114537444933831e+02,4.000000000000000000e+02,4.045828038966539566e+02,4.064656048797018002e+02,3.959469831701099451e+02,3.839838092039439630e+02,3.130000000000000000e+02,4.990000000000000000e+02,6.160000000000000000e+02,2.650000000000000000e+02
1.300000000000000000e+01,4.923849542527956373e+02,4.810000000000000000e+02,4.875036001694197125e+02,4.899020670958996675e+02,4.707014000010672703e+02,4.495885276438380629e+02,3.520000000000000000e+02,6.260000000000000000e+02,7.840000000000000000e+02,2.860000000000000000e+02
1.400000000000000000e+01,5.971833276855303438e+02,5.830000000000000000e+02,5.903223210504023655e+02,5.939566248729244080e+02,5.622835544625526154e+02,5.284433999375502253e+02,4.010000000000000000e+02,7.840000000000000000e+02,9.860000000000000000e+02,3.140000000000000000e+02
1.500000000000000000e+01,7.304896645205014920e+02,7.100000000000000000e+02,7.213540872511647422e+02,7.261816333446289491e+02,6.768211230725484029e+02,6.250001164147502095e+02,4.595000000000000000e+02,9.830000000000000000e+02,1.249000000000000000e+03,3.500000000000000000e+02
1.600000000000000000e+01,9.424117248390375607e+02,9.110000000000000000e+02,9.281308767471410874e+02,9.362019654354455724e+02,8.562574985686266018e+02,7.737737876576280769e+02,5.520000000000000000e+02,1.306500000000000000e+03,1.695000000000000000e+03,4.040000000000000000e+02
1.700000000000000000e+01,1.202841070823449627e+03,1.160000000000000000e+03,1.182555696738670122e+03,1.194040664181633247e+03,1.076441198852654452e+03,9.561119454221030765e+02,6.695000000000000000e+02,1.697000000000000000e+03,2.227000000000000000e+03,4.760000000000000000e+02
1.800000000000000000e+01,1.539827177228058190e+03,1.482000000000000000e+03,1.512662854722575275e+03,1.528025076245340642e+03,1.359036541554484984e+03,1.187598280196137921e+03,8.175000000000000000e+02,2.209000000000000000e+03,2.923000000000000000e+03,5.710000000000000000e+02
1.900000000000000000e+01,1.954919010504913558e+03,1.880000000000000000e+03,1.919668360864040551e+03,1.939627922738054849e+03,1.706407050845981303e+03,1.471372128127049791e+03,1.002000000000000000e+03,2.833500000000000000e+03,3.744000000000000000e+03,6.840000000000000000e+02
2.000000000000000000e+01,2.261413758048119234e+03,2.195000000000000000e+03,2.224584921643371672e+03,2.247960013554727084e+03,1.965873199754797042e+03,1.685918548447129751e+03,1.142000000000000000e+03,3.293000000000000000e+03,4.095000000000000000e+03,7.700000000000000000e+02
2.100000000000000000e+01,2.356736699423924165e+03,2.282000000000000000e+03,2.327851757729775727e+03,2.353772619451033734e+03,2.046148370343118813e+03,1.751140208863275348e+03,1.180000000000000000e+03,3.468500000000000000e+03,4.095000000000000000e+03,7.990000000000000000e+02
2.200000000000000000e+01,2.234458488647916056e+03,2.148000000000000000e+03,2.195594663278272037e+03,2.221666892578786701e+03,1.934703006709949705e+03,1.653011418549542896e+03,1.102000000000000000e+03,3.271000000000000000e+03,4.090000000000000000e+03,7.540000000000000000e+02
2.300000000000000000e+01,1.928942731277533085e+03,1.837000000000000000e+03,1.887540025412960631e+03,1.913223314130803146e+03,1.671515497455485047e+03,1.432230923194645811e+03,9.535000000000000000e+02,2.811500000000000000e+03,3.776000000000000000e+03,6.550000000000000000e+02
2.400000000000000000e+01,1.651151135208403957e+03,1.561000000000000000e+03,1.613277424819991438e+03,1.637213825821755336e+03,1.437238156429158153e+03,1.239471096642617795e+03,8.235000000000000000e+02,2.394500000000000000e+03,3.242000000000000000e+03,5.850000000000000000e+02
2.500000000000000000e+01,1.447527956624873013e+03,1.366000000000000000e+03,1.412493858534519177e+03,1.434387665198237983e+03,1.269962766471720215e+03,1.106173717690481908e+03,7.405000000000000000e+02,2.077000000000000000e+03,2.833000000000000000e+03,5.390000000000000000e+02
2.600000000000000000e+01,1.259331413080311677e+03,1.192000000000000000e+03,1.228591274883523965e+03,1.247566587597424586e+03,1.115584428684409431e+03,9.828450948409430339e+02,6.650000000000000000e+02,1.786000000000000000e+03,2.461000000000000000e+03,4.940000000000000000e+02
2.700000000000000000e+01,1.151667909183327765e+03,1.096000000000000000e+03,1.124662431173231653e+03,1.141124364622161920e+03,1.026127686198143465e+03,9.098465413338790313e+02,6.175000000000000000e+02,1.623000000000000000e+03,2.222000000000000000e+03,4.710000000000000000e+02
2.800000000000000000e+01,1.102804811928160007e+03,1.055000000000000000e+03,1.078605252011859420e+03,1.092779396814639085e+03,9.872191739003180828e+02,8.795999069381819027e+02,5.995000000000000000e+02,1.551000000000000000e+03,2.103000000000000000e+03,4.630000000000000000e+02
2.900000000000000000e+01,1.020818705523551330e+03,9.780000000000000000e+02,1.000481575603557758e+03,1.012381226702812569e+03,9.213479409067114148e+02,8.281397016617453346e+02,5.700000000000000000e+02,1.428500000000000000e+03,1.894000000000000000e+03,4.480000000000000000e+02
3.000000000000000000e+01,9.682246696035242621e+02,9.350000000000000000e+02,9.508407454468446076e+02,9.615689596746865391e+02,8.774413860297746623e+02,7.920171937049252620e+02,5.460000000000000000e+02,1.346500000000000000e+03,1.759000000000000000e+03,4.300000000000000000e+02
3.100000000000000000e+01,1.004944425618434479e+03,9.660000000000000000e+02,9.875078356628547454e+02,9.983026092849881934e+02,9.082637287103648305e+02,8.172597828484842921e+02,5.600000000000000000e+02,1.408000000000000000e+03,1.808000000000000000e+03,4.390000000000000000e+02
3.200000000000000000e+01,1.049275838698746156e+03,1.009000000000000000e+03,1.030278271918678456e+03,1.042418502202643140e+03,9.471221400198282936e+02,8.511817894303870844e+02,5.805000000000000000e+02,1.475500000000000000e+03,1.913000000000000000e+03,4.560000000000000000e+02
